semptom;;;;;;;;;;
göðüs aðrýsý;göðsüm aðrýyor;göðsümde aðrý;;;;;;;;
göðüste baský;göðsümde baský;göðsümde sýkýþýklýk;;;;;;;;
görme kaybý;görmede zorluk;görmekte zorluk;;;;;;;;
göz çevresinde basýnç;gözlerimde basýnç;göz basýncý;yüksek göz içi basýncý;gözümde basýnç;;;;;;
göz kararmasý;gözlerimde karartý;gözlerim kararýyor;;;;;;;;
göz kaþýntýsý;gözlerim kaþýnýyor;gözlerimde kaþýntý;;;;;;;;
gözde kýzarýklýk;gözümde kýzarma;gözüm kýzardý;;;;;;;;
gözde kitle;gözümde kitle;gözlerimde kitle;gözlerimde sert;;;;;;;
gözlerin ani ve aþýrý kýrpýlmasý;gözlerim çok kýrpýþýyor;gözlerimde ani kýrpýlmalar;;;;;;;;
gündüz uyku hali;uykuluyum;uykum;;;;;;;;
hafýza kaybý;hafýzamda kayýp;hatýrlamýyorum;hatýrlamakta zorlanýyorum;;;;;;;
halüsinasyon;sanrý;sanrýlar;;;;;;;;
hapþýrma;hapþýrýyorum;hapþýrýk;;;;;;;;
hareketlerde zorlanma;yavaþ hareket ediyorum;hareketlerde zorluk;fiziksel iþlev kaybý;;;;;;;
hassas cilt;cildimde hassasiyet;cildim hassas;;;;;;;;
hýrýltý;hýrýltýlý ses;hýrýldama;;;;;;;;
horlama;horluyorum;horlamam;;;;;;;;
ýþýk hassasiyeti;ýþýða karþý hassasiyet;ýþýklý ortamda;ýþýk olunca;;;;;;;
idrar kaçýrma;idrar kaçýrýyorum;altýma yapýyorum;;;;;;;;
idrar yapamama;idrara çýkamýyorum;idrar yapamýyorum;;;;;;;;
idrarda acý;idrarýmda acý;idrar yaparken acý;;;;;;;;
idrarda kan;idrarýmda kan;idrarým kanlý;kanlý idrar;kanlý bir idrar;;;;;;
idrarda taþ;idrarýmda taþ;idrarda taþ;;;;;;;;
idrarda yanma;idrara çýkarken yanma;idrarýmý yaparken yanma;;;;;;;;
iris renginde deðiþiklik;göz renginde deðiþiklik;göz rengim deðiþti;;;;;;;;
ishal;ishalim;cýr cýr;;;;;;;;
iþitme problemleri;iþitmede zorluk;duyamýyorum;duymakta zorlanýyorum;duymakta zorluk;duymada zorluk;kulaklarým duymuyor;duymuyorum;ses iþitmiyorum;iþitme kaybý;iþitmemde kayýp
iþtahsýzlýk;iþtahým yok;yemek istemiyorum;;;;;;;;
iyileþmeyen aðýz yarasý;aðzýmdaki yara;aðzýmda yara;aðýz yarasý;;;;;;;
iyileþmeyen yara;yaralarým iyileþmiyor;yaralarýn geç iyileþmesi;;;;;;;;
kabýz;dýþký yapamýyorum;dýþký yapmakta zorluk;;;;;;;;
kafada bölgesel saç kaybý;saç kaybý;kafamda saç kaybý;;;;;;;;
kalp atýþ hýzýnda artýþ;kalbim hýzlý atýyor;kalbim çok hýzlý;;;;;;;;
kalp yetmezliði;kalp yetersizliði;kalp yetmezliðim;kalp yetersizliðim;;;;;;;
kamburluk;kambur;kamburum;;;;;;;;
kanlý balgam;balgamda kan;balgamýmda kan;;;;;;;;
kanlý ishal;ishalimde kan;ishal olunca kan;ishalim kanlý;;;;;;;
kanlý öksürük;öksürüðümde kan;öksürdüðümde kan;kanlý bir öksürük;;;;;;;
kansýzlýk;kansýzlýðým;anemi;anemim;;;;;;;
karýn aðrýsý;karným aðrýyor;karnýmda aðrý;karnýmda bir aðrý;;;;;;;
karýnda sývý;karnýmda sývý;karýn bölgesinde sývý;;;;;;;;
kas aðrýsý;kaslarým aðrýyor;kasým aðrýyor;kaslarýmda aðrý;;;;;;;
kas güçsüzlüðü;kaslarýmda güçsüzlük;güçsüz kas;;;;;;;;
kasýk aðrýsý;kasýklarým aðrýyor;kasýklarda aðrý;kasýklarýmda bir aðrý;;;;;;;
kasýlma;kasýlýyorum;kasýlmam;;;;;;;;
kaþýntý;kaþýnýyorum;kaþýntým;;;;;;;;
kemik kýrýklarý;kemiklerim kýrýlýyor;kemiklerimde kýrýlmalar;kemiklerimde kýrýlma;;;;;;;
kýrmýzý çatlaklar;derimde kýrmýzý çatlaklar;derimde çatlak;deride çatlak;ciltte çatlak;;;;;;
kýrmýzý kahverengi lekeler;cillte kýrmýzý;ciltte kahverengi;;;;;;;;
kýrmýzý yüz;yüzümde kýrmýzýlýk;yüzüm kýrmýzý;;;;;;;;
kýsýk ses;sesim kýsýldý;sesimde kýsýklýk;;;;;;;;
kilo kaybý;zayýladým;zayýflama;kilom azaldý;kiloda azalýþ;kilo azalýþý;;;;;
koku hassasiyeti;kokuya karþý hassasiyet;kokuya karþý hassasiyetim;;;;;;;;
kol aðrýsý;kolum aðrýyor;kolumda aðrý;;;;;;;;
kolay morarma;kolayca morluk;kolay morluk;;;;;;;;
konuþma güçlüðü;konuþmakta güçlük;konuþmakta zorluk;dil becerilerimde kayýp;dil becerimde kayýp;;;;;;
koyu cilt;ciltte koyuluk;cildimde koyu;cildim koyu;derimde koyuluk;derim koyu;derimde koyu;;;;
koyu renkli idrar;idrarým koyu renkte;idrarým koyu renkli;;;;;;;;
kötü kokulu idrar;idrarým kötü kokuyor;idrarda kötü koku;;;;;;;;
kramp;kasýlma;kasýlmalar;;;;;;;;
kulak aðrýsý;kulaðým aðrýyor;kulaðýmda aðrý;;;;;;;;
kulak akýntýsý;kulaðýmda sývý;kulakta sývý;kulakta akýntý;;;;;;;
kulak uðultusu;uðultu;kulaðýmda uðultu;;;;;;;;
kuru aðýz;aðzým kuru;aðzýmda kuruluk;kuru bir aðýz;;;;;;;
kusma;kusuyorum;kustum;;;;;;;;
mide ekþimesi;midem ekþiyor;ekþi midem;ekþi mide;midemde ekþime;;;;;;
midedeki gýdalarýn aðza gelmesi;midem aðzýma geldi;mide sývým aðzýma;;;;;;;;
nefes darlýðý;nefesim daralýyor;solunum sýkýntýsý;nefes almakta güçlük;nefes almakta zorluk;;;;;;
nöbet;nöbetim;;;;;;;;;
omuz aðrýsý;omzum aðrýyor;omzumda aðrý;;;;;;;;
omuz hareketlerinin kýsýtlanmasý;omzum oynamýyor;omzumu oynatamýyorum;;;;;;;;
omuz morarmasý;omzumda morluk;omuzda morluk;omuz bölgesinde morluk;;;;;;;
omuzda þekil bozukluðu;omzum yamuk;omzumun þekli;;;;;;;;
orta kulak enfeksiyonu;orta kulaðýmda enfeksiyon;kulakta enfeksiyon;kulak enfeksiyonu;;;;;;;
öðün atlamak;öðün atlýyorum;öðünlerde atlamalar;;;;;;;;
öksürük;öksürüyorum;öksürme;;;;;;;;
reflü;reflüm;;;;;;;;;
rektal kanama;rektal bölgemde kan;rektal bölgede kan;;;;;;;;
ruh hali deðiþimleri;deðiþken ruh hali;deðiþik ruh hali;;;;;;;;
saç dökülmesi;saçým dökülüyor;saç dökülmem;;;;;;;;
sarkýk göz kapaklarý;sarkmýþ göz kapaðý;göz kapaðýnda sarkma;;;;;;;;
ses hassasiyeti;sese karþý hassasiyet;ses hassasiyetim;;;;;;;;
seslerin derinden gelmesi;boðuk ses;sesin boðuk;;;;;;;;
sýk idrar;idrara sýk;sýk bir idrar;tuvalete sýk;;;;;;;
sýrt aðrýsý;sýrtým aðrýyor;sýrtýmda aðrý;;;;;;;;
sývý dýþký;dýþkým sývý;akýþkan dýþký;dýþkým akýþkan;;;;;;;
solunum durmasý;solunumda aksama;soluk alamýyorum;;;;;;;;
su korkusu;sudan korkyorum;su beni korkutuyor;;;;;;;;
sussuzluk;susama;su içme isteðim;su içme isteði;;;;;;;
sürekli diyet yapma;sürekli diyet yapýyorum;sýk diyet;;;;;;;;
þiþ akciðer;akciðerimde þiþlik;ciðerimde þiþlik;ciðerim þiþ;;;;;;;
þiþ ayak;ayaklarým þiþti;ayaklarýmda þiþlik ;;;;;;;;
þiþ bacak;bacaklarýmda þiþlik;bacaklarým þiþ;;;;;;;;
þiþ bademcik;bademciklerim þiþti;þiþ bademciðim;þiþ bademciklerim;;;;;;;
þiþ bel;belde þiþlik;belimde þiþlik;;;;;;;;
þiþ boðaz;boðazýmda þiþlik;þiþ bir boðazým;þiþ boðazým;;;;;;;
þiþ diz;dizlerde þiþlik;þiþ dizler;;;;;;;;
þiþ dudak;dudaklarým þiþti;þiþ bir dudak;;;;;;;;
þiþ eklem;eklemlerde þiþlik;þiþ eklemim;;;;;;;;
þiþ göz;gözlerim þiþti;gözlerim þiþ;gözüm þiþti;gözümde þiþlik;;;;;;
þiþ göz kapaðý;göz kapaðým þiþti;göz kapaðýnda þiþme;;;;;;;;
þiþ karýn;karýnda þiþlik;karnýmda þiþlik;;;;;;;;
þiþ lenf bezi;lenf bezlerim þiþti;lenf bezlerinde þiþlik;lenf bezlerimde þiþlik;;;;;;;
þiþ mide;midem þiþti;midemde þiþkinlik;;;;;;;;
þiþ tiroid bezi;tiroid bezimde þiþlik;þiþmiþ tiroid bezim;;;;;;;;
þiþ yanak;yanaðýmda þiþlik;yanaklarýmda þiþlik;;;;;;;;
þiþkinlik;þiþ;þiþkin;þiþmiþ;;;;;;;
terleme;terliyorum;terlemek;;;;;;;;
týkanýk burun;burnum týkalý;burnum týkanmýþ;;;;;;;;
týkanýk kulak;kulaðým týkalý;kulakta týkanýklýk;kulaðýmda týkanýklýk;;;;;;;
titreme;titriyorum;üþüyorum;;;;;;;;
tükürük salgýsýnda artýþ;tükürük artýþý;tükürük sývým arttý;tükürüðüm arttý;;;;;;;
uyku ataklarý;uykumda ataklar;uykumda atak;;;;;;;;
uyku felci;uykumda felç;uykumda inme;;;;;;;;
uykuda huzursuzluk;uykum çok bölündü;uykum bölündü;;;;;;;;
uykusuzluk;uykum var;uyuyamýyorum;uykularým düzensiz;;;;;;;
uyuþma;hissizleþme;uyuþmalar;;;;;;;;
yað artýþý;yað miktarým arttý;yað oranýnda artýþ;yað oranýnda artýþým;;;;;;;
yavaþ yemek;yemekleri yavaþ;yemekleri çok yavaþ;;;;;;;;
yoðun kan;kanýmda yoðunluk;kaným yoðun;;;;;;;;
yutma güçlüðü;yutmakta güçlük;yutkunma sýkýntýsý;yutkunamýyorum;yutkunamamak;;;;;;
yüksek tansiyon;tansiyonum yükseldi;tansiyonda yükselme;;;;;;;;
yürüme güçlüðü;yürüyemiyorum;yürümekte zorluk;yürüme zorluðu;;;;;;;
yüz aðrýsý;yüzümde basýnç;yüzümde baský;;;;;;;;
